Alpha,Facility,City,District
INCWK,DT,Gandhari,IN CLEARANCE
BLRI,ST,Bangalore,IN CLEARANCE
DELIP,PO,New Delhi,IN CLEARANCE
BLRIP,PO,Bangalore,IN CLEARANCE
MAAIP,PO,Chennai,IN CLEARANCE
CCUIP,PO,Kolkata,IN CLEARANCE
COKIP,PO,Cochin,IN CLEARANCE
HYDIP,PO,Hyderabad,IN CLEARANCE
AMDIP,PO,Ahmedabad,IN CLEARANCE
CJBIP,PO,Coimbatore,IN CLEARANCE
PNQIP,PO,Pune,IN CLEARANCE
JAIIP,PO,Jaipur,IN CLEARANCE
BOMIP,PO,Mumbai,IN CLEARANCE
DELHV,PO,New Delhi,IN CLEARANCE
BOMHV,PO,Mumbai,IN CLEARANCE
BLRHV,PO,Bangalore,IN CLEARANCE
DELI,ST,New Delhi,IN CLEARANCE
BOMI,ST,Mumbai,IN CLEARANCE
BOMB,BS,Mumbai,IN CLEARANCE
GOIIP,PO,Goa,IN CLEARANCE
INHWK,DT,New Delhi,INDIA RAMP/HUB
INIVK,RG,Mumbai,
CCUAT,ST,Kolkata,IN NORTH & EAST
INNWK,DT,New Delhi,IN NORTH & EAST
DELIO,ST,New Delhi,IN NORTH & EAST
NDCIN,ST,Noida,IN NORTH & EAST
DELIC,ST,New Delhi,IN NORTH & EAST
GUXIN,ST,Gurgaon,IN NORTH & EAST
DELIN,ST,New Delhi,IN NORTH & EAST
JAIIN,ST,Jaipur,IN NORTH & EAST
DELIM,ST,New Delhi,IN NORTH & EAST
AMDBH,SI,Ahmedabad,IN WEST
PNQPH,SI,Hinjewadi,IN WEST
BOMAE,ST,Mumbai,IN WEST
BOMCG,ST,Mumbai,IN WEST
PNQMV,SI,Pune,IN WEST
IDRPL,ST,Indore,IN WEST
INWWK,DT,Mumbai,IN WEST
MAAAB,ST,Chennai,IN SOUTH
INSWK,DT,Bangalore,IN SOUTH
HYDTS,ST,Secundrabad,IN SOUTH
BLRJN,ST,Bangalore,IN SOUTH
BLRHB,ST,Bangalore,IN SOUTH
CJBAT,ST,Coimbatore,IN SOUTH
TRPAD,ST,Tirupur,IN SOUTH
MAAGU,ST,Chennai,IN SOUTH
BLRSN,ST,Bangalore,IN SOUTH
BOMVK,RG,Mumbai,
DELKL,ST,New Delhi,IN NORTH-1 DIRECT SE
JRHA,ST,Jalandhar,IN NORTH-1 DIRECT SE
ABMA,ST,Ambala,IN NORTH-1 DIRECT SE
DELKB,ST,New Delhi,IN NORTH-1 DIRECT SE
IXJA,ST,Jammu,IN NORTH-1 DIRECT SE
DAEA,ST,New Delhi,IN NORTH-1 DIRECT SE
NDCA,ST,Noida,IN NORTH-1 DIRECT SE
GOPA,ST,Ghaziabad,IN NORTH-1 DIRECT SE
DELAZ,ST,New Delhi,IN NORTH-1 DIRECT SE
DELCP,ST,New Delhi,IN NORTH-1 DIRECT SE
DELAN,ST,New Delhi,IN NORTH-1 DIRECT SE
DELMK,ST,New Delhi,IN NORTH-1 DIRECT SE
DELSN,ST,New Delhi,IN NORTH-1 DIRECT SE
DELKR,ST,New Delhi,IN NORTH-1 DIRECT SE
NDCAD,ST,Noida,IN NORTH-1 DIRECT SE
IXCBP,SI,Parwanoo,IN NORTH-1 DIRECT SE
JRHN,ST,Jalandhar,IN NORTH-1 DIRECT SE
IXCBD,ST,Baddi,IN NORTH-1 DIRECT SE
DAEFR,ST,Faridabad,IN NORTH-1 DIRECT SE
DELBA,SI,Bahadurgarh,IN NORTH-1 DIRECT SE
IXJAT,ST,Jammu,IN NORTH-1 DIRECT SE
ABMPL,ST,Patiala,IN NORTH-1 DIRECT SE
IXCA,ST,Chandigarh,IN NORTH-1 DIRECT SE
DELPP,ST,Panipat,IN NORTH-1 DIRECT SE
JRHKA,ST,Kapurthala,IN NORTH-1 DIRECT SE
LUHA,ST,Ludhiana,IN NORTH-1 DIRECT SE
IXCAT,ST,Chandigarh,IN NORTH-1 DIRECT SE
LUHAD,ST,Ludhiana,IN NORTH-1 DIRECT SE
ATQA,ST,Amritsar,IN NORTH-1 DIRECT SE
ABMSO,ST,Solan,IN NORTH-1 DIRECT SE
DELRH,SI,Rohtak,IN NORTH-1 DIRECT SE
HNFWK,DT,New Delhi,IN NORTH-1 DIRECT SE
GOPAT,ST,Ghaziabad,IN NORTH-1 DIRECT SE
ABMKR,SI,Karnal,IN NORTH-1 NON-DIREC
ABMSD,ST,Solan,IN NORTH-1 NON-DIREC
IXCBA,ST,Baddi,IN NORTH-1 NON-DIREC
IXCPW,ST,Parwanoo,IN NORTH-1 NON-DIREC
HSSA,ST,Hissar,IN NORTH-1 NON-DIREC
DAEX,SI,Faridabad,IN NORTH-1 NON-DIREC
GUXX,SI,Gurgaon,IN NORTH-1 NON-DIREC
IXCML,SI,Mohali,IN NORTH-1 NON-DIREC
DELX,SI,New Delhi,IN NORTH-1 NON-DIREC
DELSE,SI,Sonepat,IN NORTH-1 NON-DIREC
ABMJG,SI,Jagadhri,IN NORTH-1 NON-DIREC
SXRA,SI,Srinagar,IN NORTH-1 NON-DIREC
ABMX,SI,Ambala,IN NORTH-1 NON-DIREC
BUPA,ST,Bhatinda,IN NORTH-1 NON-DIREC
JRHPG,SI,Phagwara,IN NORTH-1 NON-DIREC
SLVX,SI,Shimla,IN NORTH-1 NON-DIREC
ATQGD,SI,Gurdaspur,IN NORTH-1 NON-DIREC
LUHMG,SI,Moga,IN NORTH-1 NON-DIREC
HNOWK,DT,Gurgaon,IN NORTH-1 NON-DIREC
